STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY18 Lodging Rate,FY18 M&IE,
AL,Birmingham,Jefferson / Shelby,,,$101 ,$59,
AL,Gulf Shores,Baldwin,1-Oct,28-Feb,$106 ,$64,
AL,Gulf Shores,Baldwin,1-Mar,31-May,$125 ,$64,
AL,Gulf Shores,Baldwin,1-Jun,31-Jul,$160 ,$64,
AL,Gulf Shores,Baldwin,1-Aug,30-Sep,$106 ,$64,
AL,Mobile,Mobile,1-Oct,31-Dec,$93 ,$59,
AL,Mobile,Mobile,1-Jan,28-Feb,$98 ,$59,
AL,Mobile,Mobile,1-Mar,30-Sep,$93 ,$59,
AR,Hot Springs,Garland,,,$104 ,$59,
AR,Little Rock,Pulaski,,,$96 ,$59,
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,1-Oct,31-Oct,$142 ,$64,
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,1-Nov,28-Feb,$93 ,$64,
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,1-Mar,30-Apr,$110 ,$64,
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai less the city of Sedona,1-May,30-Sep,$142 ,$64,
AZ,Kayenta,Navajo,1-Oct,31-Oct,$126 ,$59,
AZ,Kayenta,Navajo,1-Nov,28-Feb,$104 ,$59,
AZ,Kayenta,Navajo,1-Mar,30-Sep,$126 ,$59,
AZ,Phoenix / Scottsdale,Maricopa,1-Oct,31-Dec,$124 ,$59,
AZ,Phoenix / Scottsdale,Maricopa,1-Jan,31-Mar,$174 ,$59,
AZ,Phoenix / Scottsdale,Maricopa,1-Apr,31-May,$133 ,$59,
AZ,Phoenix / Scottsdale,Maricopa,1-Jun,31-Aug,$93 ,$59,
AZ,Phoenix / Scottsdale,Maricopa,1-Sep,30-Sep,$124 ,$59,
AZ,Sedona,City limits of Sedona,,,$162 ,$74,
AZ,Tucson,Pima,1-Oct,31-Dec,$93 ,$59,
AZ,Tucson,Pima,1-Jan,28-Feb,$118 ,$59,
AZ,Tucson,Pima,1-Mar,30-Sep,$93 ,$59,
CA,Antioch / Brentwood / Concord,Contra Costa,,,$154 ,$64,
CA,Bakersfield / Ridgecrest,Kern,,,$100 ,$59,
CA,Barstow / Ontario / Victorville,San Bernardino,,,$95 ,$54,
CA,Death Valley,Inyo ,,,$112 ,$64,
CA,Eureka / Arcata / McKinleyville,Humboldt,1-Oct,31-May,$101 ,$74,
CA,Eureka / Arcata / McKinleyville,Humboldt,1-Jun,31-Aug,$129 ,$74,
CA,Eureka / Arcata / McKinleyville,Humboldt,1-Sep,30-Sep,$101 ,$74,
CA,Fresno,Fresno,,,$103 ,$64,
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB less the city of Santa Monica,,,$173 ,$64,
CA,Mammoth Lakes,Mono,,,$131 ,$74,
CA,Mill Valley / San Rafael / Novato,Marin,1-Oct,31-Oct,$184 ,$74,
CA,Mill Valley / San Rafael / Novato,Marin,1-Nov,31-May,$151 ,$74,
CA,Mill Valley / San Rafael / Novato,Marin,1-Jun,30-Sep,$184 ,$74,
CA,Monterey,Monterey,1-Oct,30-Jun,$142 ,$74,
CA,Monterey,Monterey,1-Jul,31-Aug,$198 ,$74,
CA,Monterey,Monterey,1-Sep,30-Sep,$142 ,$74,
CA,Napa,Napa,1-Oct,31-Oct,$215 ,$69,
CA,Napa,Napa,1-Nov,30-Apr,$165 ,$69,
CA,Napa,Napa,1-May,30-Sep,$215 ,$69,
CA,Oakhurst,Madera ,1-Oct,31-May,$98 ,$64,
CA,Oakhurst,Madera ,1-Jun,31-Aug,$127 ,$64,
CA,Oakhurst,Madera ,1-Sep,30-Sep,$98 ,$64,
CA,Oakland,Alameda,1-Oct,31-Oct,$171 ,$69,
CA,Oakland,Alameda,1-Nov,31-Dec,$152 ,$69,
CA,Oakland,Alameda,1-Jan,30-Sep,$171 ,$69,
CA,Palm Springs,Riverside,1-Oct,30-Apr,$133 ,$64,
CA,Palm Springs,Riverside,1-May,30-Sep,$104 ,$64,
CA,Point Arena / Gualala,Mendocino,,,$116 ,$69,
CA,Sacramento,Sacramento,,,$128 ,$64,
CA,San Diego,San Diego,1-Oct,31-Dec,$153 ,$64,
CA,San Diego,San Diego,1-Jan,31-Jul,$167 ,$64,
CA,San Diego,San Diego,1-Aug,30-Sep,$153 ,$64,
CA,San Francisco,San Francisco,1-Oct,31-Oct,$302 ,$74,
CA,San Francisco,San Francisco,1-Nov,31-Dec,$222 ,$74,
CA,San Francisco,San Francisco,1-Jan,31-Aug,$276 ,$74,
CA,San Francisco,San Francisco,1-Sep,30-Sep,$302 ,$74,
CA,San Luis Obispo,San Luis Obispo,,,$123 ,$64,
CA,San Mateo / Foster City / Belmont,San Mateo,1-Oct,31-Oct,$213 ,$69,
CA,San Mateo / Foster City / Belmont,San Mateo,1-Nov,31-Dec,$180 ,$69,
CA,San Mateo / Foster City / Belmont,San Mateo,1-Jan,30-Sep,$213 ,$69,
CA,Santa Barbara,Santa Barbara,1-Oct,30-Jun,$167 ,$74,
CA,Santa Barbara,Santa Barbara,1-Jul,31-Aug,$222 ,$74,
CA,Santa Barbara,Santa Barbara,1-Sep,30-Sep,$167 ,$74,
CA,Santa Cruz,Santa Cruz,1-Oct,31-May,$122 ,$59,
CA,Santa Cruz,Santa Cruz,1-Jun,31-Aug,$152 ,$59,
CA,Santa Cruz,Santa Cruz,1-Sep,30-Sep,$122 ,$59,
CA,Santa Monica ,City limits of Santa Monica,1-Oct,30-Jun,$253 ,$64,
CA,Santa Monica ,City limits of Santa Monica,1-Jul,31-Aug,$307 ,$64,
CA,Santa Monica ,City limits of Santa Monica,1-Sep,30-Sep,$253 ,$64,
CA,Santa Rosa,Sonoma,1-Oct,31-Oct,$162 ,$64,
CA,Santa Rosa,Sonoma,1-Nov,31-May,$134 ,$64,
CA,Santa Rosa,Sonoma,1-Jun,30-Sep,$162 ,$64,
CA,South Lake Tahoe,El Dorado,1-Oct,30-Nov,$112 ,$64,
CA,South Lake Tahoe,El Dorado,1-Dec,30-Jun,$125 ,$64,
CA,South Lake Tahoe,El Dorado,1-Jul,31-Aug,$154 ,$64,
CA,South Lake Tahoe,El Dorado,1-Sep,30-Sep,$112 ,$64,
CA,Stockton ,San Joaquin,,,$107 ,$64,
CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,1-Oct,31-Dec,$218 ,$64,
CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,1-Jan,31-Mar,$228 ,$64,
CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,1-Apr,30-Sep,$218 ,$64,
CA,Tahoe City,Placer,,,$103 ,$64,
CA,Truckee,Nevada ,,,$126 ,$74,
CA,Visalia / Lemoore,Tulare / Kings,,,$100 ,$59,
CA,West Sacramento / Davis,Yolo,,,$117 ,$64,
CA,Yosemite National Park,Mariposa,1-Oct,31-Dec,$123 ,$69,
CA,Yosemite National Park,Mariposa,1-Jan,31-May,$111 ,$69,
CA,Yosemite National Park,Mariposa,1-Jun,30-Sep,$123 ,$69,
CO,Aspen,Pitkin,1-Oct,30-Nov,$164 ,$74,
CO,Aspen,Pitkin,1-Dec,31-Mar,$424 ,$74,
CO,Aspen,Pitkin,1-Apr,31-May,$181 ,$74,
CO,Aspen,Pitkin,1-Jun,31-Aug,$236 ,$74,
CO,Aspen,Pitkin,1-Sep,30-Sep,$164 ,$74,
