STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY17 Lodging Rate,FY17 M&IE,
AL,Birmingham,Jefferson / Shelby,,,$96,$59,
AL,Gulf Shores,Baldwin,October 1,February 28,$105,$64,
AL,Gulf Shores,Baldwin,March 1,May 31,$122,$64,
AL,Gulf Shores,Baldwin,June 1,July 31,$156,$64,
AL,Gulf Shores,Baldwin,August 1,September 30,$105,$64,
AL,Mobile,Mobile,October 1,December 31,$91,$59,
AL,Mobile,Mobile,January 1,February 28,$99,$59,
AL,Mobile,Mobile,March 1,September 30,$91,$59,
AR,Hot Springs,Garland,,,$101,$59,
AR,Little Rock,Pulaski,,,$94,$59,
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai,October 1,October 31,$143,$64,
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai,November 1,February 28,$91,$64,
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai,March 1,June 30,$127,$64,
AZ,Grand Canyon / Flagstaff,Coconino / Yavapai,July 1,September 30,$143,$64,
AZ,Kayenta,Navajo,October 1,October 31,$131,$59,
AZ,Kayenta,Navajo,November 1,April 30,$103,$59,
AZ,Kayenta,Navajo,May 1,September 30,$131,$59,
AZ,Phoenix / Scottsdale,Maricopa,October 1,December 31,$118,$59,
AZ,Phoenix / Scottsdale,Maricopa,January 1,March 31,$169,$59,
AZ,Phoenix / Scottsdale,Maricopa,April 1,May 31,$130,$59,
AZ,Phoenix / Scottsdale,Maricopa,June 1,August 31,$91,$59,
AZ,Phoenix / Scottsdale,Maricopa,September 1,September 30,$118,$59,
AZ,Sedona,,October 1,February 28,$153,$74,
AZ,Sedona,,March 1,April 30,$193,$74,
AZ,Sedona,,May 1,September 30,$153,$74,
AZ,Tucson,Pima,October 1,December 31,$91,$59,
AZ,Tucson,Pima,January 1,February 28,$113,$59,
AZ,Tucson,Pima,March 1,September 30,$91,$59,
CA,Antioch / Brentwood / Concord,Contra Costa,,,$145,$64,
CA,Bakersfield / Ridgecrest,Kern,,,$96,$59,
CA,Barstow / Ontario / Victorville,San Bernardino,,,$92,$54,
CA,Death Valley,Inyo ,,,$106,$64,
CA,Eureka / Arcata / McKinleyville,Humboldt,October 1,June 30,$100,$74,
CA,Eureka / Arcata / McKinleyville,Humboldt,July 1,August 31,$126,$74,
CA,Eureka / Arcata / McKinleyville,Humboldt,September 1,September 30,$100,$74,
CA,Fresno,Fresno,,,$97,$64,
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB,October 1,December 31,$158,$64,
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB,January 1,March 31,$175,$64,
CA,Los Angeles,Los Angeles / Orange / Ventura / Edwards AFB,April 1,September 30,$158,$64,
CA,Mammoth Lakes,Mono,,,$133,$74,
CA,Mill Valley / San Rafael / Novato,Marin,October 1,October 31,$175,$74,
CA,Mill Valley / San Rafael / Novato,Marin,November 1,May 31,$149,$74,
CA,Mill Valley / San Rafael / Novato,Marin,June 1,September 30,$175,$74,
CA,Monterey,Monterey,October 1,June 30,$140,$74,
CA,Monterey,Monterey,July 1,August 31,$188,$74,
CA,Monterey,Monterey,September 1,September 30,$140,$74,
CA,Napa,Napa,October 1,October 31,$207,$69,
CA,Napa,Napa,November 1,April 30,$158,$69,
CA,Napa,Napa,May 1,September 30,$207,$69,
CA,Oakhurst,Madera ,October 1,May 31,$94,$64,
CA,Oakhurst,Madera ,June 1,August 31,$117,$64,
CA,Oakhurst,Madera ,September 1,September 30,$94,$64,
CA,Oakland,Alameda,,,$161,$69,
CA,Palm Springs,Riverside,October 1,October 31,$101,$64,
CA,Palm Springs,Riverside,November 1,April 30,$131,$64,
CA,Palm Springs,Riverside,May 1,September 30,$101,$64,
CA,Point Arena / Gualala,Mendocino,,,$112,$69,
CA,Redding,Shasta,,,$93,$64,
CA,Sacramento,Sacramento,,,$119,$64,
CA,San Diego,San Diego,October 1,December 31,$149,$64,
CA,San Diego,San Diego,January 1,July 31,$162,$64,
CA,San Diego,San Diego,August 1,September 30,$149,$64,
CA,San Francisco,San Francisco,,,$267,$74,
CA,San Luis Obispo,San Luis Obispo,October 1,May 31,$117,$64,
CA,San Luis Obispo,San Luis Obispo,June 1,August 31,$138,$64,
CA,San Luis Obispo,San Luis Obispo,September 1,September 30,$117,$64,
CA,San Mateo / Foster City / Belmont,San Mateo,,,$199,$69,
CA,Santa Barbara,Santa Barbara,October 1,June 30,$164,$74,
CA,Santa Barbara,Santa Barbara,July 1,August 31,$219,$74,
CA,Santa Barbara,Santa Barbara,September 1,September 30,$164,$74,
CA,Santa Cruz,Santa Cruz,October 1,May 31,$138,$59,
CA,Santa Cruz,Santa Cruz,June 1,August 31,$175,$59,
CA,Santa Cruz,Santa Cruz,September 1,September 30,$138,$59,
CA,Santa Monica ,City limits of Santa Monica,October 1,June 30,$237,$64,
CA,Santa Monica ,City limits of Santa Monica,July 1,August 31,$281,$64,
CA,Santa Monica ,City limits of Santa Monica,September 1,September 30,$237,$64,
CA,Santa Rosa,Sonoma,October 1,October 31,$148,$64,
CA,Santa Rosa,Sonoma,November 1,April 30,$129,$64,
CA,Santa Rosa,Sonoma,May 1,September 30,$148,$64,
CA,South Lake Tahoe,El Dorado,October 1,November 30,$112,$64,
CA,South Lake Tahoe,El Dorado,December 1,June 30,$127,$64,
CA,South Lake Tahoe,El Dorado,July 1,August 31,$148,$64,
CA,South Lake Tahoe,El Dorado,September 1,September 30,$112,$64,
CA,Stockton ,San Joaquin,,,$100,$64,
CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,October 1,December 31,$206,$64,
CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,January 1,March 31,$223,$64,
CA,Sunnyvale / Palo Alto / San Jose,Santa Clara,April 1,September 30,$206,$64,
CA,Tahoe City,Placer,,,$100,$64,
CA,Truckee,Nevada ,,,$126,$74,
CA,Visalia / Lemoore,Tulare / Kings,,,$94,$59,
CA,West Sacramento / Davis,Yolo,,,$115,$64,
CA,Yosemite National Park,Mariposa,October 1,December 31,$124,$69,
CA,Yosemite National Park,Mariposa,January 1,May 31,$109,$69,
CA,Yosemite National Park,Mariposa,June 1,September 30,$124,$69,
CO,Aspen,Pitkin,October 1,November 30,$141,$74,
CO,Aspen,Pitkin,December 1,March 31,$338,$74,
CO,Aspen,Pitkin,April 1,May 31,$153,$74,
CO,Aspen,Pitkin,June 1,August 31,$191,$74,
CO,Aspen,Pitkin,September 1,September 30,$141,$74,
CO,Boulder / Broomfield,Boulder / Broomfield,,,$132,$59,
CO,Colorado Springs,El Paso,,,$97,$59,
CO,Cortez,Montezuma,October 1,May 31,$91,$59,
CO,Cortez,Montezuma,June 1,September 30,$114,$59,
CO,Crested Butte / Gunnison,Gunnison,October 1,November 30,$108,$64,
CO,Crested Butte / Gunnison,Gunnison,December 1,March 31,$146,$64,
CO,Crested Butte / Gunnison,Gunnison,April 1,September 30,$108,$64,
CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,October 1,November 30,$178,$69,
CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,December 1,January 31,$149,$69,
CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,February 1,September 30,$178,$69,
CO,Douglas ,Douglas,,,$123,$59,
CO,Durango,La Plata,October 1,May 31,$102,$64,
CO,Durango,La Plata,June 1,September 30,$152,$64,
CO,Fort Collins / Loveland,Larimer,,,$109,$59,
CO,Grand Lake,Grand,October 1,November 30,$112,$64,
CO,Grand Lake,Grand,December 1,March 31,$180,$64,
CO,Grand Lake,Grand,April 1,May 31,$98,$64,
